id,chart_template_id:id,code,name,user_type_id:id,reconcile
tw_147401,l10n_chart_tw_standard_business,147401,遞延兌換損失,account.data_account_type_current_assets,FALSE
tw_147601,l10n_chart_tw_standard_business,147601,其他金融資產-流動,account.data_account_type_current_assets,FALSE
tw_147701,l10n_chart_tw_standard_business,147701,受限制資產,account.data_account_type_current_assets,FALSE
tw_147901,l10n_chart_tw_standard_business,147901,其他流動資產-其他,account.data_account_type_current_assets,FALSE
tw_151000,l10n_chart_tw_standard_business,151000,透過損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_151101,l10n_chart_tw_standard_business,151101,原始認列時指定為透過損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_151201,l10n_chart_tw_standard_business,151201,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_151301,l10n_chart_tw_standard_business,151301,強制按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_151401,l10n_chart_tw_standard_business,151401,強制按公允價值衡量之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_151501,l10n_chart_tw_standard_business,151501,持有供交易之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_151601,l10n_chart_tw_standard_business,151601,持有供交易之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_152000,l10n_chart_tw_standard_business,152000,透過其他綜合損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_152101,l10n_chart_tw_standard_business,152101,透過其他綜合損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_152201,l10n_chart_tw_standard_business,152201,透過其他綜合損益按公允價值衡量之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_152300,l10n_chart_tw_standard_business,152300,備供出售金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_152401,l10n_chart_tw_standard_business,152401,備供出售金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_152501,l10n_chart_tw_standard_business,152501,備供出售金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_152601,l10n_chart_tw_standard_business,152601,累計減損-備供出售金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_152700,l10n_chart_tw_standard_business,152700,持有至到期日金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_152801,l10n_chart_tw_standard_business,152801,持有至到期日金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_152901,l10n_chart_tw_standard_business,152901,累計減損-持有至到期日金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_153001,l10n_chart_tw_standard_business,153001,避險之衍生金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_154000,l10n_chart_tw_standard_business,154000,按攤銷後成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_154101,l10n_chart_tw_standard_business,154101,按攤銷後成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_154201,l10n_chart_tw_standard_business,154201,累計減損-按攤銷後成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_154300,l10n_chart_tw_standard_business,154300,以成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_154401,l10n_chart_tw_standard_business,154401,以成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_154501,l10n_chart_tw_standard_business,154501,累計減損-以成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_154600,l10n_chart_tw_standard_business,154600,無活絡市場之債券投資-非流動,account.data_account_type_non_current_assets,FALSE
tw_154701,l10n_chart_tw_standard_business,154701,無活絡市場之債券投資-非流動,account.data_account_type_non_current_assets,FALSE
tw_154801,l10n_chart_tw_standard_business,154801,累計減損-無活絡市場之債券投資-非流動,account.data_account_type_non_current_assets,FALSE
tw_155000,l10n_chart_tw_standard_business,155000,採用權益法之投資,account.data_account_type_non_current_assets,FALSE
tw_155101,l10n_chart_tw_standard_business,155101,採用權益法之投資,account.data_account_type_non_current_assets,FALSE
tw_155301,l10n_chart_tw_standard_business,155301,累計減損－採用權益法之投資,account.data_account_type_non_current_assets,FALSE
tw_160000,l10n_chart_tw_standard_business,160000,不動產、廠房及設備,account.data_account_type_non_current_assets,FALSE
tw_160100,l10n_chart_tw_standard_business,160100,土地淨額,account.data_account_type_non_current_assets,FALSE
tw_160201,l10n_chart_tw_standard_business,160201,土地成本,account.data_account_type_non_current_assets,FALSE
tw_160301,l10n_chart_tw_standard_business,160301,土地-重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_160401,l10n_chart_tw_standard_business,160401,累計減損-土地,account.data_account_type_non_current_assets,FALSE
tw_160500,l10n_chart_tw_standard_business,160500,土地改良物淨額,account.data_account_type_non_current_assets,FALSE
tw_160601,l10n_chart_tw_standard_business,160601,土地改良物成本,account.data_account_type_non_current_assets,FALSE
tw_160701,l10n_chart_tw_standard_business,160701,土地改良物-重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_160801,l10n_chart_tw_standard_business,160801,累計折舊-土地改良物,account.data_account_type_non_current_assets,FALSE
tw_160901,l10n_chart_tw_standard_business,160901,累計減損-土地改良物,account.data_account_type_non_current_assets,FALSE
tw_161000,l10n_chart_tw_standard_business,161000,房屋及建築淨額,account.data_account_type_non_current_assets,FALSE
tw_161101,l10n_chart_tw_standard_business,161101,房屋及建築成本,account.data_account_type_non_current_assets,FALSE
tw_161201,l10n_chart_tw_standard_business,161201,房屋及建築-重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_161301,l10n_chart_tw_standard_business,161301,累計折舊-房屋及建築,account.data_account_type_non_current_assets,FALSE
tw_161401,l10n_chart_tw_standard_business,161401,累計減損-房屋建築,account.data_account_type_non_current_assets,FALSE
tw_161500,l10n_chart_tw_standard_business,161500,機器設備淨額,account.data_account_type_non_current_assets,FALSE
tw_161601,l10n_chart_tw_standard_business,161601,機器設備成本,account.data_account_type_non_current_assets,FALSE
tw_161701,l10n_chart_tw_standard_business,161701,機器設備-重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_161801,l10n_chart_tw_standard_business,161801,累計折舊-機器設備,account.data_account_type_non_current_assets,FALSE
tw_161901,l10n_chart_tw_standard_business,161901,累計減損-機器設備,account.data_account_type_non_current_assets,FALSE
tw_167000,l10n_chart_tw_standard_business,167000,運輸設備淨額,account.data_account_type_non_current_assets,FALSE
tw_167101,l10n_chart_tw_standard_business,167101,運輸設備成本,account.data_account_type_non_current_assets,FALSE
tw_167201,l10n_chart_tw_standard_business,167201,運輸設備-重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_167301,l10n_chart_tw_standard_business,167301,累計折舊-運輸設備,account.data_account_type_non_current_assets,FALSE
tw_167401,l10n_chart_tw_standard_business,167401,累計減損-運輸設備,account.data_account_type_non_current_assets,FALSE
tw_169000,l10n_chart_tw_standard_business,169000,辦公設備淨額,account.data_account_type_non_current_assets,FALSE
tw_169101,l10n_chart_tw_standard_business,169101,辦公設備成本,account.data_account_type_non_current_assets,FALSE
tw_169201,l10n_chart_tw_standard_business,169201,辦公設備-重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_169301,l10n_chart_tw_standard_business,169301,累計折舊-辦公設備,account.data_account_type_non_current_assets,FALSE
tw_169401,l10n_chart_tw_standard_business,169401,累計減損-辦公設備,account.data_account_type_non_current_assets,FALSE
tw_173500,l10n_chart_tw_standard_business,173500,其他設備淨額,account.data_account_type_non_current_assets,FALSE
tw_173601,l10n_chart_tw_standard_business,173601,其他設備成本,account.data_account_type_non_current_assets,FALSE
tw_173701,l10n_chart_tw_standard_business,173701,其他設備-重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_173801,l10n_chart_tw_standard_business,173801,累計折舊-其他設備,account.data_account_type_non_current_assets,FALSE
tw_173901,l10n_chart_tw_standard_business,173901,累計減損-其他設備,account.data_account_type_non_current_assets,FALSE
tw_174000,l10n_chart_tw_standard_business,174000,未完工程及待驗設備,account.data_account_type_non_current_assets,FALSE
tw_174001,l10n_chart_tw_standard_business,174001,未完工程及待驗設備,account.data_account_type_non_current_assets,FALSE
tw_180100,l10n_chart_tw_standard_business,180100,電腦軟體淨額,account.data_account_type_non_current_assets,FALSE
tw_180201,l10n_chart_tw_standard_business,180201,電腦軟體,account.data_account_type_non_current_assets,FALSE
tw_180301,l10n_chart_tw_standard_business,180301,電腦軟體成本重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_180401,l10n_chart_tw_standard_business,180401,累計減損－電腦軟體成本,account.data_account_type_non_current_assets,FALSE
tw_180501,l10n_chart_tw_standard_business,180501,商 譽,account.data_account_type_non_current_assets,FALSE
tw_182100,l10n_chart_tw_standard_business,182100,其他無形資產,account.data_account_type_non_current_assets,FALSE
tw_182201,l10n_chart_tw_standard_business,182201,其他無形資產,account.data_account_type_non_current_assets,FALSE
tw_182301,l10n_chart_tw_standard_business,182301,其他無形資產重估增(減)值,account.data_account_type_non_current_assets,FALSE
tw_182401,l10n_chart_tw_standard_business,182401,累計減損－其他無形資產,account.data_account_type_non_current_assets,FALSE
tw_184001,l10n_chart_tw_standard_business,184001,遞延所得稅資產,account.data_account_type_non_current_assets,FALSE
tw_190000,l10n_chart_tw_standard_business,190000,其他非流動資產,account.data_account_type_non_current_assets,FALSE
